Date,Open,High,Low,Close,Volume
07/28/2017,"37.47","37.56","37.30","37.38","68,854,600"
07/27/2017,"38.44","38.50","36.83","37.64","129,905,360"
07/26/2017,"38.34","38.48","38.27","38.37","63,123,800"
07/25/2017,"37.95","38.46","37.95","38.19","75,415,720"
07/24/2017,"37.65","38.11","37.48","38.02","85,972,640"
07/21/2017,"37.50","37.61","37.22","37.57","105,010,524"
07/20/2017,"37.88","37.94","37.55","37.59","68,975,000"
07/19/2017,"37.62","37.86","37.49","37.76","83,691,884"
07/18/2017,"37.30","37.53","37.17","37.52","71,475,156"
07/17/2017,"37.21","37.73","37.14","37.39","95,173,844"
07/14/2017,"36.99","37.33","36.83","37.26","80,528,244"
07/13/2017,"36.38","37.12","36.36","36.94","100,797,476"
07/12/2017,"36.47","36.55","36.21","36.44","99,537,920"
07/11/2017,"36.18","36.46","36.10","36.38","79,127,360"
07/10/2017,"36.03","36.49","35.84","36.27","84,362,564"
07/07/2017,"35.73","36.19","35.73","36.05","76,806,844"
07/06/2017,"35.76","35.88","35.60","35.68","96,515,116"
07/05/2017,"35.92","36.20","35.68","36.02","86,278,244"
07/03/2017,"36.22","36.33","35.78","35.88","57,111,400"
06/30/2017,"36.11","36.24","35.95","36.01","92,096,436"
06/29/2017,"36.18","36.28","35.57","35.92","125,997,476"
06/28/2017,"36.12","36.53","35.79","36.46","88,329,720"
06/27/2017,"36.25","36.54","35.91","35.93","99,047,564"
06/26/2017,"36.79","37.07","36.35","36.46","102,769,436"
06/23/2017,"36.28","36.79","36.28","36.57","141,757,564"
06/22/2017,"36.44","36.68","36.28","36.41","76,425,156"
06/21/2017,"36.38","36.52","36.15","36.47","85,063,000"
06/20/2017,"36.72","36.72","36.24","36.25","99,600,280"
06/19/2017,"35.92","36.69","35.92","36.59","130,165,600"
06/16/2017,"35.95","36.13","35.55","35.57","201,444,360"
06/15/2017,"35.83","36.12","35.55","36.07","128,661,476"
06/14/2017,"36.88","36.88","35.96","36.29","126,124,920"
06/13/2017,"36.79","36.86","36.29","36.65","136,661,796"
06/12/2017,"36.44","36.52","35.63","36.36","289,229,312"
06/09/2017,"38.80","38.80","36.51","37.25","259,530,640"
06/08/2017,"38.81","38.89","38.60","38.75","85,003,204"
06/07/2017,"38.76","39.00","38.62","38.84","84,278,600"
06/06/2017,"38.48","38.95","38.45","38.61","106,499,720"
06/05/2017,"38.59","38.61","38.37","38.48","101,326,640"
06/02/2017,"38.40","38.86","38.22","38.86","111,082,884"
06/01/2017,"38.29","38.33","38.06","38.30","65,616,360"
05/31/2017,"38.49","38.54","38.10","38.19","97,804,640"
05/30/2017,"38.36","38.61","38.33","38.42","80,507,400"
05/26/2017,"38.50","38.56","38.33","38.40","87,710,564"
05/25/2017,"38.43","38.59","38.26","38.47","76,942,400"
05/24/2017,"38.46","38.54","38.17","38.34","76,876,600"
05/23/2017,"38.73","38.73","38.33","38.45","79,675,476"
05/22/2017,"38.50","38.65","38.23","38.50","91,865,756"
05/19/2017,"38.35","38.50","38.16","38.27","107,843,156"
05/18/2017,"37.82","38.34","37.78","38.14","134,272,876"
05/17/2017,"38.40","38.64","37.43","37.56","203,070,720"
05/16/2017,"38.99","39.02","38.68","38.87","80,193,920"
05/15/2017,"39.00","39.16","38.76","38.93","104,038,884"
05/12/2017,"38.68","39.11","38.67","39.03","130,108,080"
05/11/2017,"38.11","38.52","38.08","38.49","109,020,244"
05/10/2017,"38.41","38.49","38.03","38.32","103,222,756"
05/09/2017,"38.47","38.72","38.36","38.50","156,521,436"
05/08/2017,"37.26","38.43","37.26","38.25","195,009,624"
05/05/2017,"36.69","37.25","36.69","37.24","109,310,920"
05/04/2017,"36.63","36.79","36.45","36.63","93,487,476"
05/03/2017,"36.40","36.87","36.07","36.77","182,788,124"
05/02/2017,"36.89","37.02","36.71","36.88","181,408,764"
05/01/2017,"36.28","36.80","36.24","36.65","134,411,764"
04/28/2017,"36.02","36.08","35.82","35.91","83,441,436"
04/27/2017,"35.98","36.04","35.83","35.95","56,985,400"
04/26/2017,"36.12","36.15","35.84","35.92","80,164,960"
04/25/2017,"35.98","36.23","35.97","36.13","75,486,000"
04/24/2017,"35.88","35.99","35.80","35.91","68,537,320"
04/21/2017,"35.61","35.67","35.46","35.57","69,283,720"
04/20/2017,"35.31","35.73","35.29","35.61","93,278,244"
04/19/2017,"35.47","35.50","35.11","35.17","69,313,524"
04/18/2017,"35.35","35.51","35.28","35.30","58,790,160"
04/17/2017,"35.37","35.47","35.22","35.46","66,328,360"
04/13/2017,"35.48","35.60","35.26","35.26","71,291,524"
04/12/2017,"35.40","35.54","35.25","35.45","81,400,000"
04/11/2017,"35.74","35.84","35.02","35.41","121,517,524"
04/10/2017,"35.90","35.97","35.73","35.79","75,733,600"
04/07/2017,"35.93","36.05","35.82","35.84","66,688,796"
04/06/2017,"36.07","36.13","35.86","35.92","84,596,116"
04/05/2017,"36.06","36.37","35.95","36.01","110,871,400"
04/04/2017,"35.81","36.22","35.79","36.19","79,565,400"
04/03/2017,"35.93","36.03","35.76","35.93","79,942,844"
03/31/2017,"35.93","36.07","35.75","35.92","78,646,600"
03/30/2017,"36.05","36.13","35.88","35.98","84,829,000"
03/29/2017,"35.92","36.12","35.80","36.03","116,759,844"
03/28/2017,"35.23","36.01","35.16","35.95","133,499,236"
03/27/2017,"34.85","35.31","34.66","35.22","94,300,360"
03/24/2017,"35.38","35.44","35.09","35.16","89,582,244"
03/23/2017,"35.32","35.40","35.15","35.23","81,385,204"
03/22/2017,"34.96","35.40","34.94","35.36","103,440,680"
03/21/2017,"35.53","35.70","34.93","34.96","158,119,640"
03/20/2017,"35.10","35.38","35.06","35.37","86,168,156"
03/17/2017,"35.25","35.25","34.97","35.00","175,539,812"
03/16/2017,"35.18","35.26","35.07","35.17","76,928,000"
03/15/2017,"34.85","35.19","34.76","35.12","102,767,080"
03/14/2017,"34.83","34.91","34.71","34.75","61,236,280"
03/13/2017,"34.71","34.86","34.71","34.80","69,686,884"
03/10/2017,"34.81","34.84","34.66","34.79","78,451,204"
03/09/2017,"34.69","34.70","34.26","34.67","88,623,600"
03/08/2017,"34.74","34.95","34.71","34.75","74,828,960"
03/07/2017,"34.77","35.00","34.70","34.88","69,785,204"
03/06/2017,"34.84","34.94","34.65","34.84","87,000,156"
03/03/2017,"34.70","34.96","34.65","34.95","86,284,476"
03/02/2017,"35.00","35.07","34.69","34.74","104,843,920"
03/01/2017,"34.47","35.04","34.40","34.95","145,658,376"
02/28/2017,"34.27","34.36","34.18","34.25","93,931,436"
02/27/2017,"34.29","34.36","34.07","34.23","81,029,720"
02/24/2017,"33.98","34.17","33.82","34.17","87,106,360"
02/23/2017,"34.35","34.37","34.08","34.13","83,152,756"
02/22/2017,"34.11","34.28","34.03","34.28","83,347,720"
02/21/2017,"34.06","34.19","34.00","34.18","98,028,640"
02/17/2017,"33.78","33.96","33.78","33.93","88,792,796"
02/16/2017,"33.92","33.98","33.71","33.84","90,338,244"
02/15/2017,"33.88","34.07","33.66","33.88","142,492,408"
02/14/2017,"33.37","33.77","33.31","33.76","132,904,876"
02/13/2017,"33.27","33.46","33.19","33.32","92,141,680"
02/10/2017,"33.12","33.24","33.01","33.03","80,261,844"
02/09/2017,"32.91","33.11","32.78","33.11","113,399,436"
02/08/2017,"32.84","33.06","32.81","33.01","92,016,280"
02/07/2017,"32.64","33.02","32.61","32.88","152,735,360"
02/06/2017,"32.28","32.63","32.23","32.57","107,383,680"
02/03/2017,"32.08","32.30","32.04","32.27","98,029,204"
02/02/2017,"31.99","32.35","31.95","32.13","134,841,624"
02/01/2017,"31.76","32.62","31.75","32.19","447,940,000"
01/31/2017,"30.29","30.35","30.16","30.34","196,803,968"
01/30/2017,"30.23","30.41","30.17","30.41","121,510,000"
01/27/2017,"30.54","30.59","30.40","30.49","82,251,756"
01/26/2017,"30.42","30.61","30.40","30.49","105,350,320"
01/25/2017,"30.11","30.53","30.07","30.47","130,346,680"
01/24/2017,"29.89","30.03","29.88","29.99","92,844,156"
01/23/2017,"30.00","30.20","29.94","30.02","88,200,884"
01/20/2017,"30.11","30.11","29.93","30.00","130,391,564"
01/19/2017,"29.85","30.02","29.84","29.95","102,389,156"
01/18/2017,"30.00","30.13","29.93","30.00","94,851,844"
01/17/2017,"29.59","30.06","29.56","30.00","137,759,360"
01/13/2017,"29.78","29.91","29.70","29.76","104,447,796"
01/12/2017,"29.72","29.83","29.55","29.81","108,344,884"
01/11/2017,"29.69","29.98","29.65","29.94","110,354,360"
01/10/2017,"29.69","29.85","29.58","29.78","97,848,204"
01/09/2017,"29.49","29.86","29.49","29.75","134,247,812"
01/06/2017,"29.20","29.54","29.12","29.48","127,007,600"
01/05/2017,"28.98","29.22","28.95","29.15","88,774,360"
01/04/2017,"28.96","29.13","28.94","29.01","84,472,476"
01/03/2017,"28.95","29.08","28.69","29.04","115,127,476"
12/30/2016,"29.16","29.30","28.86","28.96","122,345,080"
12/29/2016,"29.11","29.28","29.10","29.18","60,158,080"
12/28/2016,"29.38","29.50","29.05","29.19","83,623,564"
12/27/2016,"29.13","29.45","29.12","29.32","73,187,436"
12/23/2016,"28.90","29.13","28.90","29.13","56,997,920"
12/22/2016,"29.09","29.13","28.91","29.07","104,343,400"
12/21/2016,"29.20","29.35","29.20","29.27","95,132,680"
12/20/2016,"29.19","29.38","29.17","29.24","85,699,884"
12/19/2016,"28.95","29.35","28.94","29.16","111,117,680"
12/16/2016,"29.12","29.13","28.91","28.99","177,404,516"
12/15/2016,"28.85","29.18","28.81","28.96","186,098,156"
12/14/2016,"28.76","29.05","28.75","28.80","136,127,328"
12/13/2016,"28.46","28.98","28.44","28.80","174,935,236"
12/12/2016,"28.32","28.75","28.12","28.33","105,497,524"
12/09/2016,"28.08","28.68","28.08","28.49","137,610,532"
12/08/2016,"27.72","28.11","27.65","28.03","108,273,280"
12/07/2016,"27.32","27.80","27.29","27.76","119,994,884"
12/06/2016,"27.38","27.59","27.30","27.49","104,781,844"
12/05/2016,"27.50","27.51","27.06","27.28","137,298,156"
12/02/2016,"27.29","27.52","27.21","27.48","106,112,000"
12/01/2016,"27.59","27.74","27.26","27.37","148,347,436"
11/30/2016,"27.90","28.05","27.57","27.63","144,648,640"
11/29/2016,"27.70","28.01","27.52","27.87","114,115,000"
11/28/2016,"27.86","28.12","27.85","27.89","108,775,920"
11/25/2016,"27.78","27.97","27.74","27.95","45,903,680"
11/23/2016,"27.84","27.88","27.58","27.81","109,705,564"
11/22/2016,"27.99","28.11","27.85","27.95","103,862,116"
11/21/2016,"27.53","28.00","27.50","27.93","117,058,280"
11/18/2016,"27.43","27.64","27.42","27.52","113,715,680"
11/17/2016,"27.45","27.59","27.21","27.49","110,528,000"
11/16/2016,"26.68","27.56","26.65","27.50","235,362,080"
11/15/2016,"26.64","26.92","26.54","26.78","129,058,040"
11/14/2016,"26.93","26.95","26.02","26.43","204,702,000"
11/11/2016,"26.78","27.22","26.64","27.11","136,575,592"
11/10/2016,"27.77","27.77","26.46","26.95","228,538,156"
11/09/2016,"27.47","27.83","27.01","27.72","236,705,436"
11/08/2016,"27.58","27.93","27.43","27.77","97,016,720"
11/07/2016,"27.52","27.63","27.37","27.60","130,240,000"
11/04/2016,"27.13","27.56","27.03","27.21","123,348,000"
11/03/2016,"27.75","27.87","27.39","27.46","107,730,400"
11/02/2016,"27.85","28.09","27.81","27.90","113,326,844"
11/01/2016,"28.37","28.44","27.63","27.87","175,303,236"
10/31/2016,"28.41","28.56","28.30","28.39","105,677,600"
10/28/2016,"28.47","28.80","28.36","28.43","151,446,640"
10/27/2016,"28.85","28.97","28.53","28.62","138,248,188"
10/26/2016,"28.58","28.93","28.33","28.90","264,536,876"
10/25/2016,"29.49","29.59","29.33","29.56","192,515,876"
10/24/2016,"29.28","29.44","29.25","29.41","94,154,680"
10/21/2016,"29.20","29.23","29.07","29.15","92,770,680"
10/20/2016,"29.22","29.35","29.08","29.27","96,503,204"
10/19/2016,"29.31","29.44","28.45","29.28","80,138,360"
10/18/2016,"29.55","29.55","29.36","29.37","98,213,920"
10/17/2016,"29.33","29.46","29.20","29.39","94,499,600"
10/14/2016,"29.47","29.54","29.28","29.41","142,608,764"
10/13/2016,"29.20","29.36","28.93","29.25","140,769,624"
10/12/2016,"29.34","29.50","29.19","29.34","150,347,172"
10/11/2016,"29.43","29.67","29.05","29.08","256,164,156"
10/10/2016,"28.76","29.19","28.68","29.01","144,943,844"
10/07/2016,"28.58","28.64","28.38","28.52","97,433,756"
10/06/2016,"28.43","28.59","28.28","28.47","115,117,244"
10/05/2016,"28.35","28.42","28.17","28.26","85,812,360"
10/04/2016,"28.27","28.58","28.16","28.25","118,947,360"
10/03/2016,"28.18","28.26","28.07","28.13","86,807,040"
09/30/2016,"28.12","28.34","27.95","28.26","145,516,452"
09/29/2016,"28.29","28.45","27.95","28.05","143,547,968"
09/28/2016,"28.42","28.66","28.36","28.49","118,564,360"
09/27/2016,"28.25","28.30","28.09","28.27","98,429,640"
09/26/2016,"27.91","28.35","27.89","28.22","119,477,756"
09/23/2016,"28.61","28.70","27.89","28.18","209,924,608"
09/22/2016,"28.59","28.74","28.50","28.66","124,295,920"
09/21/2016,"28.46","28.50","28.11","28.39","144,012,764"
09/20/2016,"28.26","28.53","28.13","28.39","138,057,092"
09/19/2016,"28.80","29.05","28.31","28.40","188,092,188"
09/16/2016,"28.78","29.03","28.51","28.73","319,547,656"
09/15/2016,"28.47","28.93","28.37","28.89","362,452,752"
09/14/2016,"27.18","28.26","27.15","27.94","449,361,220"
09/13/2016,"26.88","27.20","26.81","26.99","248,704,764"
09/12/2016,"25.66","26.43","25.63","26.36","181,171,080"
09/09/2016,"26.16","26.43","25.78","25.78","186,227,920"
09/08/2016,"26.81","26.82","26.31","26.38","212,008,124"
09/07/2016,"26.96","27.19","26.77","27.09","169,457,312"
09/06/2016,"26.98","27.08","26.88","26.93","107,521,564"
09/02/2016,"26.93","27.00","26.71","26.93","107,209,796"
09/01/2016,"26.54","26.70","26.41","26.68","106,806,080"
08/31/2016,"26.42","26.64","26.41","26.53","118,649,640"
08/30/2016,"26.45","26.63","26.38","26.50","99,455,796"
08/29/2016,"26.66","26.86","26.57","26.71","99,881,204"
08/26/2016,"26.85","26.99","26.58","26.74","111,065,156"
08/25/2016,"26.85","26.97","26.67","26.89","100,345,000"
08/24/2016,"27.14","27.19","26.92","27.01","94,700,320"
08/23/2016,"27.15","27.33","27.13","27.21","85,030,680"
08/22/2016,"27.22","27.28","26.96","27.13","103,280,920"
08/19/2016,"27.19","27.42","27.09","27.34","101,472,280"
08/18/2016,"27.31","27.40","27.26","27.27","87,938,796"
08/17/2016,"27.28","27.34","27.09","27.31","101,423,920"
08/16/2016,"27.41","27.56","27.30","27.35","135,177,796"
08/15/2016,"27.04","27.39","27.02","27.37","103,472,844"
08/12/2016,"26.95","27.11","26.95","27.05","74,641,720"
08/11/2016,"27.13","27.23","26.96","26.98","109,938,040"
08/10/2016,"27.18","27.23","26.94","27.00","96,034,040"
08/09/2016,"27.06","27.24","27.00","27.20","105,260,796"
08/08/2016,"26.88","27.09","26.79","27.09","112,148,884"
08/05/2016,"26.57","26.91","26.55","26.87","162,213,592"
08/04/2016,"26.40","26.50","26.32","26.47","109,634,600"
08/03/2016,"26.20","26.46","26.19","26.45","120,810,564"
08/02/2016,"26.51","26.52","26.00","26.12","135,266,236"
08/01/2016,"26.10","26.54","26.10","26.51","152,671,484"
07/29/2016,"26.05","26.14","25.92","26.05","110,934,756"
